"Country","Day","Date","Confirmed","Deaths","Recovered"
"Brazil","42","02-03-2020","2","0","0"
"Brazil","43","03-03-2020","2","0","0"
"Cambodia","1","21-01-2020","0","0","0"
"Cambodia","2","22-01-2020","0","0","0"
"Cambodia","3","23-01-2020","0","0","0"
"Cambodia","4","24-01-2020","0","0","0"
"Cambodia","5","25-01-2020","0","0","0"
"Cambodia","6","26-01-2020","0","0","0"
"Cambodia","7","27-01-2020","1","0","0"
"Cambodia","8","28-01-2020","1","0","0"
"Cambodia","9","29-01-2020","1","0","0"
"Cambodia","10","30-01-2020","1","0","0"
"Cambodia","11","31-01-2020","1","0","0"
"Cambodia","12","01-02-2020","1","0","0"
"Cambodia","13","02-02-2020","1","0","0"
"Cambodia","14","03-02-2020","1","0","0"
"Cambodia","15","04-02-2020","1","0","0"
"Cambodia","16","05-02-2020","1","0","0"
"Cambodia","17","06-02-2020","1","0","0"
"Cambodia","18","07-02-2020","1","0","0"
"Cambodia","19","08-02-2020","1","0","0"
"Cambodia","20","09-02-2020","1","0","0"
"Cambodia","21","10-02-2020","1","0","0"
"Cambodia","22","11-02-2020","1","0","0"
"Cambodia","23","12-02-2020","1","0","1"
"Cambodia","24","13-02-2020","1","0","1"
"Cambodia","25","14-02-2020","1","0","1"
"Cambodia","26","15-02-2020","1","0","1"
"Cambodia","27","16-02-2020","1","0","1"
"Cambodia","28","17-02-2020","1","0","1"
"Cambodia","29","18-02-2020","1","0","1"
"Cambodia","30","19-02-2020","1","0","1"
"Cambodia","31","20-02-2020","1","0","1"
"Cambodia","32","21-02-2020","1","0","1"
"Cambodia","33","22-02-2020","1","0","1"
"Cambodia","34","23-02-2020","1","0","1"
"Cambodia","35","24-02-2020","1","0","1"
"Cambodia","36","25-02-2020","1","0","1"
"Cambodia","37","26-02-2020","1","0","1"
"Cambodia","38","27-02-2020","1","0","1"
"Cambodia","39","28-02-2020","1","0","1"
"Cambodia","40","29-02-2020","1","0","1"
"Cambodia","41","01-03-2020","1","0","1"
"Cambodia","42","02-03-2020","1","0","1"
"Cambodia","43","03-03-2020","1","0","1"
"Canada","1","21-01-2020","0","0","0"
"Canada","2","22-01-2020","0","0","0"
"Canada","3","23-01-2020","0","0","0"
"Canada","4","24-01-2020","0","0","0"
"Canada","5","25-01-2020","0","0","0"
"Canada","6","26-01-2020","1","0","0"
"Canada","7","27-01-2020","1","0","0"
"Canada","8","28-01-2020","2","0","0"
"Canada","9","29-01-2020","2","0","0"
"Canada","10","30-01-2020","2","0","0"
"Canada","11","31-01-2020","4","0","0"
"Canada","12","01-02-2020","4","0","0"
"Canada","13","02-02-2020","4","0","0"
"Canada","14","03-02-2020","4","0","0"
"Canada","15","04-02-2020","4","0","0"
"Canada","16","05-02-2020","5","0","0"
"Canada","17","06-02-2020","5","0","0"
"Canada","18","07-02-2020","7","0","0"
"Canada","19","08-02-2020","7","0","0"
"Canada","20","09-02-2020","7","0","0"
"Canada","21","10-02-2020","7","0","0"
"Canada","22","11-02-2020","7","0","0"
"Canada","23","12-02-2020","7","0","1"
"Canada","24","13-02-2020","7","0","1"
"Canada","25","14-02-2020","7","0","1"
"Canada","26","15-02-2020","7","0","1"
"Canada","27","16-02-2020","7","0","1"
"Canada","28","17-02-2020","8","0","1"
"Canada","29","18-02-2020","8","0","1"
"Canada","30","19-02-2020","8","0","1"
"Canada","31","20-02-2020","8","0","1"
"Canada","32","21-02-2020","9","0","3"
"Canada","33","22-02-2020","9","0","3"
"Canada","34","23-02-2020","9","0","3"
"Canada","35","24-02-2020","10","0","3"
"Canada","36","25-02-2020","11","0","3"
"Canada","37","26-02-2020","11","0","3"
"Canada","38","27-02-2020","13","0","6"
"Canada","39","28-02-2020","14","0","6"
"Canada","40","29-02-2020","20","0","6"
"Canada","41","01-03-2020","24","0","6"
"Canada","42","02-03-2020","27","0","6"
"Canada","43","03-03-2020","30","0","6"
"Croatia","1","21-01-2020","0","0","0"
"Croatia","2","22-01-2020","0","0","0"
"Croatia","3","23-01-2020","0","0","0"
"Croatia","4","24-01-2020","0","0","0"
"Croatia","5","25-01-2020","0","0","0"
